id,parent,lat,lon,name,location_type,pm_2.5,temp_f,temp_c,humidity,pressure,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,last_seen,model,adc,rssi,hidden,flagged,downgraded,age,brightness,hardware,version,last_update_check,created,uptime,is_owner,10min_avg,30min_avg,1hour_avg,6hour_avg,1day_avg,1week_avg
39253,,34.026945,-118.467935,CY,outside,25.88,,,,,,,,,,,,,,,,,2020-10-15 20:08:51,PMS5003+PMS5003+BME280,,,False,False,False,22,,,,,,,False,25.79,23.77,23.59,25.03,26.14,28.96
33647,,37.955585,-122.061985,Cynthia Dr. Outdoor,outside,0.65,94.0,34.44444444444444,12.0,1015.79,,,,,,,,,,,,,2020-10-15 20:31:25,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,1.12,1.29,1.49,4.4,8.08,28.06
70499,,37.63375,-122.490788,Cypress Cottage,outside,14.5,75.0,23.88888888888889,43.0,1016.07,,,,,,,,,,,,,2020-10-15 20:30:55,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,16.89,13.58,10.98,15.92,14.82,10.68
51177,,34.169988,-118.963502,Cypress Elementary School,outside,17.04,101.0,38.333333333333336,14.0,987.56,,,,,,,,,,,,,2020-10-15 20:30:57,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,17.16,17.61,18.55,20.41,19.79,26.51
74527,,38.435413,-122.679009,Cypress Way,outside,2.05,64.0,17.77777777777778,54.0,1013.43,,,,,,,,,,,,,2020-10-13 15:07:54,PMS5003+PMS5003+BME280,,,False,False,False,3203,,,,,,,False,2.72,3.27,3.31,5.37,11.49,20.01
73777,,38.771931,-123.531514,Cypress Way,outside,31.08,91.0,32.77777777777778,20.0,1011.67,,,,,,,,,,,,,2020-10-15 20:31:17,PMS5003+PMS5003+BME280,,,False,True,False,0,,,,,,,False,31.86,31.81,31.97,23.02,11.01,5.87
21460,,33.046374,-117.28938,D street,outside,21.05,93.0,33.88888888888889,30.0,1008.45,,,,,,,,,,,,,2020-10-15 20:30:27,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,21.55,21.84,21.74,20.65,18.85,24.76
15795,,38.002481,-122.564782,D&DsMonkeyHouse,outside,1.38,97.0,36.111111111111114,12.0,1009.08,,,,,,,,,,,,,2020-10-15 20:30:39,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,1.07,1.45,2.53,5.39,6.7,22.36
77569,,37.752438,-122.474193,D&L Inner Sunset,inside,0.0,79.0,26.11111111111111,38.0,1001.8,,,,,,,,,,,,,2020-10-15 20:30:47,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,0.03,0.35,1.84,3.38,3.27,1.2
64675,,37.470827,-122.200829,D.Miller,inside,1.25,87.0,30.555555555555557,27.0,1014.99,,,,,,,,,,,,,2020-10-15 20:30:55,PMS5003+PMS5003+BME280,,,False,True,False,0,,,,,,,False,1.17,1.38,1.67,3.21,4.63,8.37
